,0,1,2,3,4,5,6,7,8,9,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Children,Other Comments,phase 3 genotypes,related genotypes,omni genotypes,affy_genotypes,Population Description,Continental,Sequence Data Available,Alignment Data Available,Variant Data Available
HG00096,-76.81165,139.37611,119.58697,-28.628712,-24.626738,60.829365,-90.37337,5.8231325,23.111525,-96.68205,HG00096,0,0,1,0,GBR,unrel,0,0,0,0,0,1,0,1,1,British in England and Scotland,EUR,1.0,1.0,1.0
HG00097,-89.26023,101.762726,55.29802,-76.634125,7.8050685,0.19746163,9.402221,-18.025694,8.004932,-10.891384,HG00097,0,0,2,0,GBR,unrel,0,0,0,0,0,1,0,1,1,British in England and Scotland,EUR,1.0,1.0,1.0
HG00099,-79.242455,115.796234,41.9251,-35.908398,-13.494594,7.187465,-18.110716,21.577297,9.745396,-24.580605,HG00099,0,0,2,0,GBR,unrel,0,0,0,0,0,1,0,1,1,British in England and Scotland,EUR,1.0,1.0,1.0
HG00100,-72.47228,128.67917,78.301216,-57.909233,-1.1495305,12.349135,-24.980774,30.135498,-4.6057897,-9.036454,HG00100,0,0,2,0,GBR,unrel,0,0,0,0,0,1,0,1,1,British in England and Scotland,EUR,1.0,1.0,1.0
HG00171,-99.67092,84.89616,55.139874,-18.900536,-3.3866014,12.346075,-7.9048595,-5.0279427,-11.046386,4.1461453,HG00171,0,0,2,0,FIN,unrel,0,0,0,0,0,1,0,1,1,Finnish in Finland,EUR,1.0,1.0,1.0
HG00173,-85.61204,71.97797,59.23057,-68.75135,15.641129,-1.6851408,-12.602498,-17.03315,-1.4779121,-43.582325,HG00173,0,0,2,0,FIN,unrel,0,0,0,0,0,1,0,1,1,Finnish in Finland,EUR,1.0,1.0,1.0
HG00174,-75.38612,111.406784,59.329227,-28.99045,7.8380404,-5.3398523,-30.950747,24.413214,17.002674,-43.042168,HG00174,0,0,2,0,FIN,unrel,0,0,0,0,0,1,0,1,1,Finnish in Finland,EUR,1.0,1.0,1.0
HG00176,-88.62878,94.30393,35.43402,-40.053112,15.232699,-13.281035,15.956227,19.213202,-18.981491,9.006982,HG00176,0,0,2,0,FIN,unrel,0,0,0,0,0,1,0,1,1,Finnish in Finland,EUR,1.0,1.0,1.0
HG00403,-117.36032,-163.82693,64.93584,-40.06044,-14.233089,2.2575417,-15.360046,19.350054,-3.3022687,9.872729,SH001,0,0,1,0,CHS,father,0,0,0,HG00405,0,1,0,1,1,Southern Han Chinese,EAS,1.0,1.0,1.0
HG00404,-109.5777,-207.3283,75.85466,-19.172184,-4.874428,1.0054941,-1.1723496,-13.249536,5.920196,-18.98758,SH001,0,0,2,0,CHS,mother,0,0,0,HG00405,0,1,0,1,1,Southern Han Chinese,EAS,1.0,1.0,1.0
